Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
3/8/21,2255,13049,6.86,20,1191,182,25,42,1066
3/9/21,1820,4164,1.82,6,729,195,0,0,563
3/10/21,2147,12794,6.72,19,696,138,26,41,927
3/11/21,2125,11958,6.32,22,1221,154,16,49,918
3/12/21,2455,12736,5.56,15,1137,256,27,20,1339
3/13/21,2438,19019,9.85,37,1206,127,20,87,1257
3/14/21,1735,5710,2.49,8,719,99,21,13,460
3/15/21,2199,14339,7.35,15,1202,172,14,52,1015
3/16/21,2031,9187,4.73,7,1230,173,6,31,788
3/17/21,1817,6757,4.17,6,1323,80,4,33,530
3/18/21,2042,8624,3.73,13,1182,227,13,18,853
3/19/21,1962,9307,4.05,45,1252,134,15,39,737
3/20/21,2469,17946,9.31,36,689,102,17,97,1250
3/21/21,2419,13219,5.77,25,1128,281,12,19,1311
3/22/21,2316,15560,7.92,20,1183,169,23,65,1121
3/23/21,2146,10478,5.03,15,1175,227,12,26,966
3/24/21,1976,8979,5.09,9,1262,134,4,40,732
3/25/21,2014,8841,3.86,13,1193,216,14,17,820
3/26/21,2551,13870,6.03,13,1154,255,16,15,1423
3/27/21,2500,19687,10.91,36,1204,123,18,95,1314
3/28/21,2012,9594,4.19,29,1189,204,25,22,846
3/29/21,2171,13881,7.48,21,1224,143,21,52,960
3/30/21,2024,8547,4.09,7,1197,215,5,23,820
3/31/21,2121,12309,6.6,11,1252,113,15,60,881
4/1/21,2225,10730,4.69,22,1114,282,25,19,1095
4/2/21,1765,4732,2.07,9,1253,187,0,0,545
4/3/21,3000,27839,14.95,78,999,192,8,146,1908
4/4/21,1795,6162,2.67,10,1131,135,23,10,562
4/5/21,2090,11713,6.11,16,1235,159,4,42,876
4/6/21,2100,10804,5.65,9,1193,207,5,35,906
4/7/21,2173,13730,7.48,17,1213,147,27,53,985
4/8/21,1890,5107,2.21,9,733,231,0,0,674
4/9/21,1784,5572,2.43,11,1273,133,19,15,541
4/10/21,2511,16563,8.78,38,449,200,3,75,1345
4/11/21,1736,5761,2.51,4,1305,106,14,15,462
4/12/21,2289,15101,7.46,20,1204,157,18,61,1087
4/13/21,2065,10098,5,15,1223,175,9,33,838
4/14/21,2175,13259,6.81,24,1221,142,20,57,976
4/15/21,1923,7781,3.4,21,1225,183,24,8,716
4/16/21,2122,11556,5.05,53,1211,136,29,64,938
4/17/21,3178,32062,16.23,120,1011,212,95,122,2174
4/18/21,2335,15383,6.72,19,431,286,70,8,1281
4/19/21,2182,14225,7.15,16,1208,149,18,65,996
4/20/21,2179,11223,5.73,8,1160,233,13,34,1020
4/21/21,2033,10428,4.55,13,1211,159,31,39,848
4/22/21,2005,7445,3.25,13,1160,280,0,0,849
4/23/21,1932,6482,2.81,17,1185,243,7,5,764
4/24/21,1868,8216,3.58,8,668,141,14,19,635
4/25/21,2560,18731,9.59,46,1156,178,19,87,1401
4/26/21,2281,15343,8.11,28,1194,160,19,67,1102
4/27/21,2179,12262,6.16,13,1178,227,1,34,997
4/28/21,2030,9596,4.21,13,1207,180,28,25,844
4/29/21,2552,18548,9.79,50,1085,266,9,80,1474
4/30/21,2267,15219,6.65,18,530,219,69,26,1163
5/1/21,2421,17462,7.62,81,1084,244,68,44,1361
5/2/21,3253,33285,17.71,119,953,211,22,151,2209
5/3/21,1755,5280,2.31,7,1292,115,11,22,483
5/4/21,2079,12266,6.14,9,1179,134,11,56,865
5/5/21,1752,4694,2.05,10,1276,164,0,0,496
5/6/21,2188,11289,4.93,20,1125,269,10,36,1080
5/7/21,1942,9377,4.11,9,1164,146,35,13,730
5/8/21,1897,8919,3.88,13,1062,138,10,2,551
5/9/21,2500,19097,9.31,10,1152,188,43,57,1374
5/10/21,2341,17880,8.61,20,1186,160,45,49,1193
5/11/21,2060,11550,5.04,11,1191,202,37,10,903
5/12/21,2419,18536,8.67,18,1137,220,32,51,1310
5/13/21,2570,19945,9.09,22,1049,319,31,41,1526
5/14/21,2430,16149,7.05,26,1023,271,39,36,1342
5/15/21,2468,14603,6.39,63,1060,299,16,65,1411
5/16/21,3041,29062,17.33,31,1096,184,24,136,1958
5/17/21,1925,8258,3.61,3,1236,154,22,28,709
5/18/21,1650,4069,1.78,3,1339,70,19,12,347
5/19/21,2103,12340,6.72,10,1258,105,18,59,879
5/20/21,1899,7779,3.39,11,1243,162,14,21,673
5/21/21,2234,10964,4.79,42,1057,361,14,8,1186
5/22/21,2160,13537,5.91,22,1173,175,48,44,1017
5/23/21,3211,34981,18.23,27,492,101,23,203,2112
5/24/21,1720,5347,2.34,10,1313,97,21,9,438
5/25/21,1807,6199,2.71,5,690,135,16,17,555
5/26/21,2302,15668,8.1,30,1231,111,25,73,1077
5/27/21,1816,5966,2.59,7,1259,149,12,20,578
5/28/21,2159,11700,5.11,43,1156,249,28,7,1003
5/29/21,2783,20520,11.26,43,1050,317,5,68,1708
5/30/21,1817,5209,2.27,10,1186,193,0,0,572
5/31/21,2100,9159,4,101,1191,206,25,18,922
6/1/21,2754,22039,10.99,62,1086,213,29,112,1665
6/2/21,2073,11823,6.04,9,1237,137,26,40,862
6/3/21,2311,15987,8.32,27,714,181,16,64,1145
6/4/21,2102,12052,5.25,17,1176,196,45,23,945
6/5/21,2759,24242,10.92,223,1056,211,70,103,1729
6/6/21,3148,34162,18.08,36,1118,122,15,185,2056
6/7/21,2218,14261,6.23,52,1157,191,59,33,1091
6/8/21,1942,9805,4.28,3,1281,81,21,57,696
6/9/21,2054,10341,4.5,10,1205,184,34,17,874
6/10/21,2062,9943,4.32,39,1184,200,35,21,909
6/11/21,2727,20089,9.98,22,1028,307,31,74,1702
6/12/21,2811,22677,10.56,198,981,318,70,71,1846
6/13/21,2107,10123,4.42,51,1151,254,20,15,971
6/14/21,2120,12509,6.78,20,1258,101,24,57,891
6/15/21,2610,22642,12.13,39,1156,156,23,105,1470
6/16/21,2310,14683,6.41,32,1113,230,48,49,1213
6/17/21,2276,14696,7.83,27,1217,130,28,65,1074
6/18/21,2303,15339,6.7,78,1124,233,49,34,1197
6/19/21,1991,9246,4.04,19,1215,164,38,23,792
6/20/21,3758,41821,24.11,82,923,294,18,205,2838
6/21/21,2113,12041,5.25,45,1168,206,43,23,962
6/22/21,1927,9264,4.05,38,1258,119,31,32,691
6/23/21,1472,1536,0.67,3,1395,45,0,0,142
6/24/21,1370,1536,0.67,3,1440,0,0,0,0
6/25/21,1625,4512,1.97,9,1353,55,16,16,330
6/26/21,2422,13763,6.01,116,1059,326,24,31,1380
6/27/21,2662,15735,6.87,85,1141,238,14,47,1425
6/28/21,1806,6899,3.72,17,1362,34,6,38,502
6/29/21,2866,18989,9.27,206,1097,201,37,105,1778
6/30/21,2477,12431,5.43,128,1145,237,10,48,1328
7/1/21,2006,9837,4.26,13,1219,173,34,14,825
7/2/21,2323,13912,7.62,40,1183,188,14,55,1159
7/3/21,1897,5847,2.55,12,1195,245,0,0,706
7/4/21,1757,6007,2.62,38,1289,120,15,16,520
7/5/21,1779,6732,2.94,38,1351,49,21,19,383
7/6/21,1746,6168,2.69,11,1311,95,22,12,476
7/7/21,2435,18089,9.33,28,1183,158,19,80,1268
7/8/21,2028,7563,3.26,13,1190,220,27,3,865
7/9/21,2855,27408,16.25,23,1140,139,29,132,1732
7/10/21,2295,15702,6.86,114,1129,232,54,25,1193
7/11/21,2105,11057,4.83,42,1204,169,19,48,940
7/12/21,1899,8185,3.59,22,1251,155,19,15,685
7/13/21,2220,14925,7.57,46,1254,87,26,73,1009
7/14/21,2006,9718,4.96,14,1260,143,6,31,784
7/15/21,2354,16283,9.08,33,1196,147,24,73,1180
7/16/21,2429,13270,5.78,156,1071,333,17,19,1372
7/17/21,2772,21819,12.71,42,1055,272,18,95,1718
7/18/21,1898,7329,3.2,17,1236,170,26,8,673
7/19/21,2232,13771,6.88,20,1140,258,9,33,1102
7/20/21,2279,15136,7.4,20,1200,142,26,72,1100
7/21/21,1890,6047,2.64,11,1226,185,20,9,660
7/22/21,1889,7355,3.2,60,1279,104,18,39,642
7/23/21,1767,5259,2.3,12,1291,123,12,14,495
7/24/21,3980,49499,26.45,9,932,151,3,275,2965
7/25/21,2199,11029,5.34,21,1172,224,13,31,1013
7/26/21,1822,5605,2.44,12,1243,197,0,0,595
7/27/21,2046,10655,4.65,49,1239,107,43,51,832
7/28/21,1725,4957,2.16,6,1215,99,21,10,442
7/29/21,1922,8755,3.82,26,1270,108,10,52,684
7/30/21,1906,8148,3.56,15,1235,178,13,14,680
7/31/21,1836,6732,2.94,5,1253,172,8,7,611
8/1/21,1847,7170,3.08,8,1253,171,5,11,626
8/2/21,1905,7742,3.38,14,1212,196,25,7,732
8/3/21,2174,12079,5.25,20,1188,168,24,60,999
8/4/21,2248,9704,3.34,30,1161,197,44,38,1107
8/5/21,1691,5306,2.29,5,1325,82,24,9,413
8/6/21,2531,16262,4.53,51,1119,158,62,101,1444
8/7/21,2194,7052,2.58,16,1095,298,34,13,1111
8/8/21,1980,7252,3.17,53,1189,231,14,6,815
8/9/21,2206,5693,1.24,39,1181,164,33,62,1059
8/10/21,2069,10711,5.47,13,1273,96,15,56,831
8/11/21,2179,13142,5.74,39,1191,150,41,58,1019
8/12/21,1890,6189,2.7,16,1196,244,0,0,715
8/13/21,2687,25334,10.86,186,1127,101,81,131,1606
8/14/21,2492,16883,7.35,43,1041,304,69,26,1470
8/15/21,2432,16829,7.33,53,1044,322,41,33,1405
8/16/21,1802,6326,2.76,7,1154,153,21,11,587
8/17/21,1888,7581,3.31,19,1233,173,21,13,694
8/18/21,2373,14618,7.02,25,1150,199,24,67,1231
8/19/21,1887,7394,3.23,8,1237,168,19,16,679
8/20/21,2327,16761,7.29,31,1111,221,65,43,1239
8/21/21,2131,10117,4.42,21,1173,215,17,35,963
8/22/21,2048,9350,4.05,36,1173,216,37,14,904
8/23/21,2073,9896,4.32,8,1168,210,44,18,924
8/24/21,1830,5205,2.27,6,1247,176,9,8,593
8/25/21,2770,19286,8.41,36,995,332,22,91,1751
8/26/21,1815,5378,2.35,16,1251,189,0,0,582
8/27/21,1750,4689,2.05,12,1287,146,5,2,495
8/28/21,3126,23825,11.13,151,971,344,22,103,2123
8/29/21,1986,7942,3.47,18,1178,234,11,17,824
8/30/21,2473,13762,6.01,25,1094,250,39,57,1362
8/31/21,2061,5887,2.57,8,1120,320,0,0,938
9/1/21,1814,6075,2.63,16,1269,140,21,10,568
9/2/21,2012,6017,2.63,7,1041,314,0,0,886
9/3/21,1915,7298,3.19,21,1212,199,16,13,725
9/4/21,2410,13156,5.74,33,1045,327,27,41,1379
9/5/21,2435,17405,7.6,65,1083,280,41,36,1366
9/6/21,1911,5935,2.59,12,1202,229,4,5,723
9/7/21,2059,6845,2.99,12,1122,318,0,0,938
9/8/21,1719,4149,1.81,16,1300,140,0,0,434
9/9/21,2119,7099,3.1,8,1111,329,0,0,996
9/10/21,1654,2469,1.08,8,1214,145,0,0,380
9/11/21,2087,10417,4.55,25,1169,204,50,17,936
9/12/21,1854,7104,3.1,17,1259,148,21,12,624
9/13/21,1784,5536,2.4,10,1273,135,17,15,537
9/14/21,2033,7686,3.35,8,1165,250,11,14,884
9/15/21,1862,5416,2.34,10,1214,226,0,0,659
9/16/21,2291,9392,4.1,11,1045,371,11,13,1223